,Periodo,Tienda,Nombre_Producto,Temporada,Cantidad
7,2019-01-01,0,BOLSO BANDOLERA MUJER,OI,1.0
16,2019-01-01,0,CAMISA HOMBRE,OI,41.0
17,2019-01-01,0,CAMISA HOMBRE,PV,31.0
18,2019-01-01,0,CAMISA MANGA LARGA MUJER,OI,88.0
19,2019-01-01,0,CAMISA MANGA LARGA MUJER,PV,10.0
20,2019-01-01,0,CAMISETA MUJER,OI,39.0
21,2019-01-01,0,CAMISETA MUJER,PV,27.0
45,2019-01-01,0,PANTALON HOMBRE,OI,48.0
46,2019-01-01,0,PANTALON HOMBRE,PV,12.0
47,2019-01-01,0,PANTALON MUJER,OI,181.0
48,2019-01-01,0,PANTALON MUJER,PV,73.0
60,2019-01-01,0,PUNTO MANGA LARGA MUJER,OI,29.0
61,2019-01-01,0,PUNTO MANGA LARGA MUJER,PV,33.0
81,2019-01-01,11,BOLSO BANDOLERA MUJER,OI,6.0
87,2019-01-01,11,CAMISA MANGA LARGA MUJER,OI,49.0
88,2019-01-01,11,CAMISETA MUJER,OI,119.0
89,2019-01-01,11,CAMISETA MUJER,PV,2.0
99,2019-01-01,11,PANTALON MUJER,OI,110.0
104,2019-01-01,11,PUNTO MANGA LARGA MUJER,OI,132.0
115,2019-01-01,21,BOLSO BANDOLERA MUJER,OI,3.0
116,2019-01-01,21,BOLSO BANDOLERA MUJER,PV,1.0
121,2019-01-01,21,CAMISA MANGA LARGA MUJER,OI,38.0
122,2019-01-01,21,CAMISETA MUJER,OI,85.0
123,2019-01-01,21,CAMISETA MUJER,PV,1.0
134,2019-01-01,21,PANTALON MUJER,OI,62.0
139,2019-01-01,21,PUNTO MANGA LARGA MUJER,OI,131.0
151,2019-01-01,31,BOLSO BANDOLERA MUJER,OI,1.0
152,2019-01-01,31,BOLSO BANDOLERA MUJER,PV,2.0
158,2019-01-01,31,CAMISA MANGA LARGA MUJER,OI,135.0
159,2019-01-01,31,CAMISA MANGA LARGA MUJER,PV,1.0
160,2019-01-01,31,CAMISETA MUJER,OI,176.0
161,2019-01-01,31,CAMISETA MUJER,PV,1.0
172,2019-01-01,31,PANTALON MUJER,OI,196.0
173,2019-01-01,31,PANTALON MUJER,PV,2.0
